Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1749488555,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1749488556,10,,Aggregated,0.000000,0.000000,11,17,18,18,21,22,22,22,22,22,22,20,9,11,13.939190002565738,8.789599989540875,22.071100014727563,67.9
1749488557,20,,Aggregated,0.000000,0.000000,13,16,18,18,20,21,22,22,22,22,22,47,20,13,13.014955320420299,2.16170001658611,22.071100014727563,70.0
1749488558,40,,Aggregated,20.000000,9.000000,11,14,16,16,19,21,22,22,22,22,22,78,36,11,11.304643590940545,2.16170001658611,22.071100014727563,67.01282051282051
1749488559,40,,Aggregated,22.500000,9.500000,12,14,16,17,18,20,21,22,22,22,22,110,51,11,10.936056364285337,2.16170001658611,22.071100014727563,66.86363636363636
1749488560,40,,Aggregated,24.666667,10.666667,11,12,15,16,18,19,21,22,22,22,22,133,68,11,9.512849624533052,1.968900003703311,22.071100014727563,62.8796992481203
1749488561,40,,Aggregated,26.750000,12.500000,10,12,14,15,18,19,21,22,22,22,22,151,81,10,8.713712582915145,1.968900003703311,22.071100014727563,60.78145695364238
1749488562,40,,Aggregated,24.600000,12.200000,3,11,13,15,18,19,21,22,22,22,22,172,95,3,7.946723256345438,1.9617000070866197,22.071100014727563,59.44767441860465
1749488563,40,,Aggregated,24.000000,12.666667,3,11,12,14,17,19,21,22,22,22,22,194,112,3,7.355395876580475,1.9617000070866197,22.071100014727563,57.345360824742265
1749488564,40,,Aggregated,23.000000,12.571429,3,10,12,13,17,18,20,21,22,22,22,213,128,3,6.913726760633071,1.4734999858774245,22.071100014727563,55.74178403755869
1749488565,40,,Aggregated,23.375000,13.250000,3,4,11,12,16,18,20,21,22,22,22,237,147,3,6.453442616183861,1.4734999858774245,22.071100014727563,54.21097046413502
1749488566,40,,Aggregated,22.777778,13.444444,3,3,11,12,16,18,20,21,22,22,22,256,164,3,6.169407812649297,1.4734999858774245,22.071100014727563,52.47265625
1749488567,40,,Aggregated,22.600000,13.900000,3,3,10,12,16,18,20,21,22,22,22,271,178,3,6.0014140223431305,1.4734999858774245,22.071100014727563,51.09225092250922
1749488568,40,,Aggregated,22.800000,14.800000,3,3,10,11,15,18,20,21,22,22,22,293,195,3,5.736080205120439,1.4734999858774245,22.071100014727563,50.341296928327644
1749488569,40,,Aggregated,21.900000,15.300000,3,3,9,11,15,18,19,21,22,22,22,313,210,3,5.580055910852937,1.4734999858774245,22.071100014727563,49.86261980830671
1749488570,40,,Aggregated,21.300000,15.800000,3,3,5,11,15,18,19,21,22,22,22,331,226,3,5.4023151060501595,1.4734999858774245,22.071100014727563,49.003021148036254
1749488571,40,,Aggregated,19.800000,15.400000,3,3,4,10,14,18,19,21,22,22,22,352,241,3,5.2338107955372175,1.4734999858774245,22.071100014727563,48.82386363636363
1749488572,40,,Aggregated,19.900000,15.800000,3,3,4,10,14,17,19,21,22,22,22,373,257,3,5.079425469068336,1.4734999858774245,22.071100014727563,48.43699731903485
1749488573,40,,Aggregated,20.100000,15.900000,3,3,3,9,14,17,19,21,22,22,22,392,271,3,4.9470012753754045,1.4734999858774245,22.071100014727563,48.224489795918366
1749488574,40,,Aggregated,20.200000,16.200000,3,3,3,5,13,17,19,20,22,22,22,411,286,3,4.83271143545902,1.4734999858774245,22.071100014727563,47.82968369829684
1749488575,40,,Aggregated,19.700000,15.800000,3,3,3,4,13,17,19,20,22,22,22,430,303,3,4.741326976448384,1.4734999858774245,22.071100014727563,47.12325581395349
1749488576,40,,Aggregated,19.600000,15.700000,3,3,3,4,12,16,19,20,22,22,22,451,320,3,4.639325498568695,1.4734999858774245,22.071100014727563,46.74057649667406
1749488577,40,,Aggregated,19.700000,15.800000,3,3,3,4,12,16,19,20,22,22,22,467,332,3,4.569217344614871,1.4734999858774245,22.071100014727563,46.610278372591004
1749488578,40,,Aggregated,19.400000,15.600000,3,3,3,4,12,16,19,20,22,22,22,491,351,3,4.461250305384428,1.4734999858774245,22.071100014727563,46.39918533604888
1749488579,40,,Aggregated,19.800000,15.500000,3,3,3,4,12,16,18,20,22,22,22,508,362,3,4.4231482282579755,1.4734999858774245,22.071100014727563,46.574803149606296
1749488580,40,,Aggregated,19.700000,15.500000,3,3,3,4,12,16,18,20,22,22,22,525,378,3,4.363872380927205,1.4734999858774245,22.071100014727563,45.93904761904762
1749488581,40,,Aggregated,19.400000,15.300000,3,3,3,4,12,16,18,20,22,22,22,548,395,3,4.285299270282105,1.4734999858774245,22.071100014727563,45.8485401459854
1749488582,40,,Aggregated,20.000000,15.600000,3,3,3,4,11,16,18,20,22,22,22,570,414,3,4.2234864913584795,1.4734999858774245,22.071100014727563,45.38421052631579
1749488583,40,,Aggregated,19.200000,15.400000,3,3,3,4,11,15,18,20,22,22,22,591,425,3,4.177543485746758,1.4734999858774245,22.071100014727563,46.00338409475465
1749488584,40,,Aggregated,19.700000,15.600000,3,3,3,4,11,15,18,19,22,22,22,613,442,3,4.132971941308479,1.4734999858774245,22.071100014727563,45.856443719412724
1749488585,40,,Aggregated,19.800000,15.500000,3,3,3,4,11,15,18,19,22,22,22,635,456,3,4.114728189013004,1.4734999858774245,22.071100014727563,46.116535433070865
