Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/council,2257,2257,3,3.0335536994058376,1.288700004806742,21.110400004545227,22.664599025254763,12.601492311375711,12.601492311375711,3,3,3,4,4,5,6,11,14,21,21
GET,/council/status,411,411,3,3.085704866333337,1.5635000017937273,13.728999998420477,22.656934306569344,2.2947334248894182,2.2947334248894182,3,3,3,4,4,5,5,9,14,14,14
GET,/health,942,54,3,3.6682330152007996,1.2240000069141388,34.313300013309345,101.48832271762208,5.259462010330492,0.3014978222482448,3,3,3,4,4,10,18,19,34,34,34
,Aggregated,3610,2722,3,3.2051055124490664,1.2240000069141388,34.313300013309345,43.23213296398892,20.15568774659562,15.197723558513374,3,3,3,4,4,5,10,15,21,34,34
